SUBJECT_NAME,TRIAL_INDEX,SECOND_DISPLAY,BLOCK,CONDITION,CONDITION_APPEARANCE,SUBJECT_GROUP,SUBJECT_AGE,SUBJECT_GENDER,CENTER_FIXATION_LATENCY_REL_FIXATION_ONSET_MEDIAN,CENTER_FIXATION_DISTANCE_TO_CENTER_DEG_MEDIAN,CENTER_FIXATION_ACCEPTED,LATENCY_FIRST_SACCADE,TRIAL_SUCCESSFUL,FIXATION_OFFSET_TO_TARGET,LATENCY_CORRECTED_SACCADE,AMPLITUDE_CORRECTED_SACCADE,LATENCY_FIRST_WRONG_SACCADE,AMPLITUDE_FIRST_WRONG_SACCADE,LATENCY_CORRECT_SACCADE,AMPLITUDE_CORRECT_SACCADE,DISPLAY_1_WAS_SUCCESSFUL
AW001CG,38,1,3,1,TD1,YNG,19.0,f,88.0,0.9262892951959163,1.0,170.0,1.0,2.7759018694613675,,,,,170.0,5.823919073455335,1.0
AW001CG,39,0,3,1,TD1,YNG,19.0,f,-957.0,4.536614502165504,1.0,190.0,1.0,0.9878543870341031,436.0,14.454554142118589,190.0,8.788098503757528,,,
AW001CG,39,1,3,1,TD1,YNG,19.0,f,644.0,2.434834424935317,1.0,186.0,1.0,0.6268721793539093,,,,,186.0,8.756567493436597,1.0
AW001CG,40,0,3,1,TD1,YNG,19.0,f,-932.0,4.775836582241403,1.0,160.0,1.0,0.8382363131402593,,,,,160.0,8.282307143745667,
AW001CG,40,1,3,1,TD1,YNG,19.0,f,243.0,2.461421274839907,1.0,154.0,1.0,0.6274861090608124,,,,,154.0,9.843216467405114,1.0
AW001CG,41,0,3,1,TD1,YNG,19.0,f,-692.0,3.948200321443426,1.0,204.0,1.0,1.5107821744192917,,,,,204.0,10.731579795699735,
AW001CG,41,1,3,1,TD1,YNG,19.0,f,246.0,2.914548186399819,1.0,168.0,1.0,0.8153730829445086,,,,,168.0,10.44538969703906,1.0
AW001CG,42,0,3,1,TD1,YNG,19.0,f,-567.0,4.771793351988281,1.0,190.0,1.0,1.3170409399845793,,,,,190.0,10.818230325487368,
AW001CG,42,1,3,1,TD1,YNG,19.0,f,236.0,0.7256197188001227,1.0,176.0,1.0,2.1213114148260486,,,,,176.0,7.777289240092625,1.0
AW001CG,43,0,3,1,TD1,YNG,19.0,f,-1211.0,5.029630760311377,0.0,248.0,1.0,0.7146683578910518,,,,,248.0,7.685343772945732,
